Month,EMI,Interest,Principal,Balance
1,5928.558913094337,175.0,5753.558913094337,64246.44108690566
2,5928.558913094337,160.61610271726414,5767.942810377073,58478.49827652858
3,5928.558913094337,146.19624569132145,5782.362667403016,49696.135609125566
4,5928.558913094337,131.7403390228139,5796.8185740715235,46899.317035054046
5,5928.558913094337,117.24829258763512,5811.310620506702,41088.006414547344
6,5928.558913094337,102.72001603636836,5825.838897057969,33262.167517489375
7,5928.558913094337,88.15541879372344,5840.403494300614,29421.764023188764
8,5928.558913094337,73.55441005797191,5855.004503036365,23566.7595201524
9,5928.558913094337,58.916898800381,5869.642014293956,16697.11750585844
10,5928.558913094337,44.2427937646461,5884.316119329691,11812.80138652875
11,5928.558913094337,29.532003466321875,5899.026909628015,5913.774476900735
12,5928.558913094337,14.784436192251837,5913.774476902086,0.0
